product,current_stock,reorder_threshold,required_quantity
Product_1,7,40,33
Product_2,73,33,0
Product_3,56,68,12
Product_4,20,43,23
Product_5,58,51,0
Product_6,33,53,20
Product_7,73,38,0
Product_8,24,58,34
Product_9,71,35,0
Product_10,2,35,33
Product_11,73,31,0
Product_12,67,50,0
Product_13,65,63,0
Product_14,9,39,30
Product_15,40,32,0
Product_16,59,38,0
Product_17,95,47,0
Product_18,50,67,17
Product_19,89,65,0
Product_20,37,50,13
Product_21,57,67,10
Product_22,95,50,0
Product_23,87,59,0
Product_24,9,32,23
Product_25,71,50,0
Product_26,24,47,23
Product_27,46,50,4
Product_28,21,65,44
Product_29,65,56,0
Product_30,37,50,13
Product_31,73,54,0
Product_32,79,50,0
Product_33,54,60,6
Product_34,91,64,0
Product_35,80,46,0
Product_36,53,38,0
Product_37,50,36,0
Product_38,30,57,27
Product_39,35,43,8
Product_40,25,55,30
Product_41,89,58,0
Product_42,55,54,0
Product_43,60,33,0
Product_44,96,31,0
Product_45,8,45,37
Product_46,23,43,20
Product_47,81,68,0
Product_48,61,66,5
Product_49,64,57,0
Product_50,65,54,0
Product_51,77,46,0
Product_52,84,58,0
Product_53,13,38,25
Product_54,99,70,0
Product_55,58,55,0
Product_56,77,62,0
Product_57,61,42,0
Product_58,97,70,0
Product_59,36,36,0
Product_60,17,62,45
Product_61,11,30,19
Product_62,59,50,0
Product_63,15,34,19
Product_64,94,51,0
Product_65,29,32,3
Product_66,28,36,8
Product_67,81,54,0
Product_68,29,52,23
Product_69,77,41,0
Product_70,69,57,0
Product_71,2,55,53
Product_72,68,37,0
Product_73,69,63,0
Product_74,32,36,4
Product_75,94,48,0
Product_76,71,59,0
Product_77,39,40,1
Product_78,13,54,41
Product_79,73,56,0
Product_80,23,40,17
Product_81,36,49,13
Product_82,98,52,0
Product_83,57,51,0
Product_84,81,52,0
Product_85,68,49,0
Product_86,94,32,0
Product_87,65,38,0
Product_88,16,42,26
Product_89,35,39,4
Product_90,22,67,45
Product_91,68,40,0
Product_92,51,66,15
Product_93,100,55,0
Product_94,88,69,0
Product_95,17,40,23
Product_96,80,48,0
Product_97,28,45,17
Product_98,46,34,0
Product_99,42,67,25
Product_100,90,42,0
Product_101,6,33,27
Product_102,18,31,13
Product_103,22,45,23
Product_104,94,58,0
Product_105,62,52,0
Product_106,19,60,41
Product_107,9,57,48
Product_108,2,47,45
Product_109,32,62,30
Product_110,11,56,45
Product_111,54,55,1
Product_112,37,32,0
Product_113,22,67,45
Product_114,33,58,25
Product_115,10,52,42
Product_116,74,65,0
Product_117,85,39,0
Product_118,26,69,43
Product_119,63,64,1
Product_120,59,41,0
Product_121,22,40,18
Product_122,93,38,0
Product_123,79,37,0
Product_124,63,48,0
Product_125,71,63,0
Product_126,56,31,0
Product_127,50,68,18
Product_128,82,69,0
Product_129,47,55,8
Product_130,7,56,49
Product_131,54,38,0
Product_132,50,64,14
Product_133,58,58,0
Product_134,0,60,60
Product_135,46,43,0
Product_136,36,60,24
Product_137,7,55,48
Product_138,74,61,0
Product_139,94,36,0
Product_140,82,70,0
Product_141,96,41,0
Product_142,56,42,0
Product_143,7,47,40
Product_144,51,65,14
Product_145,73,45,0
Product_146,24,53,29
Product_147,94,66,0
Product_148,1,42,41
Product_149,2,58,56
Product_150,94,38,0
